Area Code (FAO),Nation,Item,Year,yf_agrc_vegetables_tonne_ha,Unit,Element
48,Costa Rica,Tomatoes,1988,71935,hg/ha,Yield
48,Costa Rica,Tomatoes,1989,354167,hg/ha,Yield
48,Costa Rica,Tomatoes,1990,360000,hg/ha,Yield
48,Costa Rica,Tomatoes,1991,400536,hg/ha,Yield
48,Costa Rica,Tomatoes,1992,399279,hg/ha,Yield
48,Costa Rica,Tomatoes,1993,399309,hg/ha,Yield
48,Costa Rica,Tomatoes,1994,399762,hg/ha,Yield
48,Costa Rica,Tomatoes,1995,399952,hg/ha,Yield
48,Costa Rica,Tomatoes,1996,399242,hg/ha,Yield
48,Costa Rica,Tomatoes,1997,398968,hg/ha,Yield
48,Costa Rica,Tomatoes,1998,249025,hg/ha,Yield
48,Costa Rica,Tomatoes,1999,185922,hg/ha,Yield
48,Costa Rica,Tomatoes,2000,261676,hg/ha,Yield
48,Costa Rica,Tomatoes,2001,352059,hg/ha,Yield
48,Costa Rica,Tomatoes,2002,375020,hg/ha,Yield
48,Costa Rica,Tomatoes,2003,400000,hg/ha,Yield
48,Costa Rica,Tomatoes,2004,450000,hg/ha,Yield
48,Costa Rica,Tomatoes,2005,375945,hg/ha,Yield
48,Costa Rica,Tomatoes,2006,305692,hg/ha,Yield
48,Costa Rica,Tomatoes,2007,564000,hg/ha,Yield
48,Costa Rica,Tomatoes,2008,596888,hg/ha,Yield
48,Costa Rica,Tomatoes,2009,632903,hg/ha,Yield
48,Costa Rica,Tomatoes,2010,534317,hg/ha,Yield
48,Costa Rica,Tomatoes,2011,582170,hg/ha,Yield
48,Costa Rica,Tomatoes,2012,515761,hg/ha,Yield
48,Costa Rica,Tomatoes,2013,592611,hg/ha,Yield
48,Costa Rica,Tomatoes,2014,568889,hg/ha,Yield
48,Costa Rica,Tomatoes,2015,608229,hg/ha,Yield
48,Costa Rica,Tomatoes,2016,520345,hg/ha,Yield
48,Costa Rica,Tomatoes,2017,520345,hg/ha,Yield
48,Costa Rica,Tomatoes,2018,520345,hg/ha,Yield
48,Costa Rica,Tomatoes,2019,529400,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1961,75148,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1962,75281,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1963,75275,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1964,75130,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1965,75000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1966,75330,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1967,75455,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1968,80085,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1969,80769,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1970,79592,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1971,80000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1972,71672,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1973,74576,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1974,76667,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1975,75000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1976,75758,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1977,76176,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1978,76471,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1979,73529,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1980,78378,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1981,78947,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1982,75610,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1983,77108,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1984,78571,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1985,85000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1986,85000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1987,89474,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1988,97143,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1989,125000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1990,120000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1991,119231,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1992,132000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1993,131480,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1994,123756,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1995,117786,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1996,108571,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1997,105263,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1998,111695,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",1999,118889,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2000,126349,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2001,138462,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2002,151852,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2003,150000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2004,148387,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2005,148438,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2006,150000,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2007,151429,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2008,151606,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2009,151600,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2010,151725,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2011,151829,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2012,151667,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2013,152188,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2014,152761,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2015,154398,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2016,153731,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2017,154129,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2018,154478,hg/ha,Yield
48,Costa Rica,"Vegetables, fresh nes",2019,154829,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1961,135550,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1962,134095,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1963,132818,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1964,127304,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1965,122083,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1966,115125,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1967,113320,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1968,113269,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1969,108429,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1970,103900,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1971,107367,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1972,106226,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1973,111871,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1974,109375,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1975,109375,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1976,109091,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1977,111765,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1978,114286,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1979,97222,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1980,113514,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1981,119444,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1982,125714,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1983,132353,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1984,143950,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1985,189106,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1986,166092,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1987,167857,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1988,167857,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1989,160000,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1990,158065,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1991,236967,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1992,304934,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1993,374046,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1994,445943,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1995,520305,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1996,598482,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1997,676730,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1998,769853,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,1999,864143,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2000,967531,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2001,1064351,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2002,1163515,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2003,1184971,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2004,1102552,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2005,920653,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2006,755361,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2007,584258,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2008,567822,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2009,681960,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2010,816233,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2011,802972,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2012,545468,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2013,539719,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2014,518078,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2015,510330,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2016,503824,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2017,499293,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2018,498842,hg/ha,Yield
56,Dominican Republic,Cabbages and other brassicas,2019,500230,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1961,77578,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1962,77644,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1963,79978,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1964,90667,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1965,88873,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1966,89678,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1967,86590,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1968,90460,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1969,84725,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1970,94200,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1971,89083,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1972,85375,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1973,88875,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1974,94050,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1975,90769,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1976,94915,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1977,92287,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1978,93273,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1979,97143,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1980,92500,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1981,96667,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1982,90909,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1983,86111,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1984,119145,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1985,135452,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1986,100856,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1987,71148,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1988,58703,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1989,84699,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1990,65467,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1991,45719,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1992,42919,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1993,41606,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1994,34373,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1995,34632,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1996,36883,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1997,44103,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1998,50694,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",1999,52609,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2000,49744,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2001,47229,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2002,55312,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2003,62138,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2004,54552,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2005,50538,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2006,48359,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2007,36784,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2008,43465,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2009,50475,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2010,51974,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2011,50740,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2012,48872,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2013,51482,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2014,54316,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2015,54210,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2016,52453,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2017,52811,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2018,54016,hg/ha,Yield
56,Dominican Republic,"Chillies and peppers, green",2019,53835,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1961,43740,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1962,45260,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1963,45922,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1964,45660,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1965,45545,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1966,45855,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1967,44621,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1968,45759,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1969,45350,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1970,44952,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1971,42582,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1972,43567,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1973,44552,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1974,43437,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1975,43437,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1976,44704,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1977,44769,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1978,45205,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1979,45333,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1980,44890,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1981,45973,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1982,45756,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1983,45509,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1984,44722,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1985,53370,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1986,46751,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1987,48576,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1988,47374,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1989,45508,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1990,40000,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1991,32967,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1992,61091,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1993,52607,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1994,41329,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1995,33093,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1996,40076,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1997,49438,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1998,50138,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),1999,60492,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2000,63576,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2001,62107,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2002,67950,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2003,67915,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2004,60726,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2005,56723,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2006,61924,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2007,55454,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2008,52051,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2009,52329,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2010,47047,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2011,49634,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2012,52533,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2013,53652,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2014,57971,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2015,56937,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2016,61496,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2017,60940,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2018,64701,hg/ha,Yield
56,Dominican Republic,Eggplants (aubergines),2019,64972,hg/ha,Yield
56,Dominican Republic,Garlic,1961,73900,hg/ha,Yield
56,Dominican Republic,Garlic,1962,75732,hg/ha,Yield
56,Dominican Republic,Garlic,1963,73932,hg/ha,Yield
56,Dominican Republic,Garlic,1964,75600,hg/ha,Yield
56,Dominican Republic,Garlic,1965,75583,hg/ha,Yield
56,Dominican Republic,Garlic,1966,74487,hg/ha,Yield
56,Dominican Republic,Garlic,1967,75104,hg/ha,Yield
56,Dominican Republic,Garlic,1968,74873,hg/ha,Yield
56,Dominican Republic,Garlic,1969,75480,hg/ha,Yield
56,Dominican Republic,Garlic,1970,75104,hg/ha,Yield
56,Dominican Republic,Garlic,1971,77132,hg/ha,Yield
56,Dominican Republic,Garlic,1972,74936,hg/ha,Yield
56,Dominican Republic,Garlic,1973,76311,hg/ha,Yield
56,Dominican Republic,Garlic,1974,74640,hg/ha,Yield
56,Dominican Republic,Garlic,1975,74471,hg/ha,Yield
56,Dominican Republic,Garlic,1976,75556,hg/ha,Yield
56,Dominican Republic,Garlic,1977,75917,hg/ha,Yield
56,Dominican Republic,Garlic,1978,75111,hg/ha,Yield
56,Dominican Republic,Garlic,1979,74688,hg/ha,Yield
56,Dominican Republic,Garlic,1980,74327,hg/ha,Yield
56,Dominican Republic,Garlic,1981,72960,hg/ha,Yield
56,Dominican Republic,Garlic,1982,75486,hg/ha,Yield
56,Dominican Republic,Garlic,1983,77764,hg/ha,Yield
56,Dominican Republic,Garlic,1984,82146,hg/ha,Yield
56,Dominican Republic,Garlic,1985,80412,hg/ha,Yield
56,Dominican Republic,Garlic,1986,91635,hg/ha,Yield
56,Dominican Republic,Garlic,1987,105851,hg/ha,Yield
56,Dominican Republic,Garlic,1988,68305,hg/ha,Yield
56,Dominican Republic,Garlic,1989,91927,hg/ha,Yield
56,Dominican Republic,Garlic,1990,56464,hg/ha,Yield
56,Dominican Republic,Garlic,1991,61780,hg/ha,Yield
56,Dominican Republic,Garlic,1992,47269,hg/ha,Yield
56,Dominican Republic,Garlic,1993,59374,hg/ha,Yield
56,Dominican Republic,Garlic,1994,44956,hg/ha,Yield
56,Dominican Republic,Garlic,1995,45889,hg/ha,Yield
56,Dominican Republic,Garlic,1996,57942,hg/ha,Yield
56,Dominican Republic,Garlic,1997,64716,hg/ha,Yield
56,Dominican Republic,Garlic,1998,55236,hg/ha,Yield
56,Dominican Republic,Garlic,1999,71911,hg/ha,Yield
56,Dominican Republic,Garlic,2000,76947,hg/ha,Yield
56,Dominican Republic,Garlic,2001,52704,hg/ha,Yield
56,Dominican Republic,Garlic,2002,66085,hg/ha,Yield
56,Dominican Republic,Garlic,2003,55876,hg/ha,Yield
56,Dominican Republic,Garlic,2004,58063,hg/ha,Yield
56,Dominican Republic,Garlic,2005,64268,hg/ha,Yield
56,Dominican Republic,Garlic,2006,62271,hg/ha,Yield
56,Dominican Republic,Garlic,2007,62672,hg/ha,Yield
56,Dominican Republic,Garlic,2008,61473,hg/ha,Yield
56,Dominican Republic,Garlic,2009,57688,hg/ha,Yield
56,Dominican Republic,Garlic,2010,57666,hg/ha,Yield
56,Dominican Republic,Garlic,2011,87670,hg/ha,Yield
56,Dominican Republic,Garlic,2012,78605,hg/ha,Yield
56,Dominican Republic,Garlic,2013,54940,hg/ha,Yield
56,Dominican Republic,Garlic,2014,44565,hg/ha,Yield
56,Dominican Republic,Garlic,2015,53487,hg/ha,Yield
56,Dominican Republic,Garlic,2016,53941,hg/ha,Yield
56,Dominican Republic,Garlic,2017,52371,hg/ha,Yield
56,Dominican Republic,Garlic,2018,50232,hg/ha,Yield
56,Dominican Republic,Garlic,2019,57722,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1961,127958,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1962,131833,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1963,130400,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1964,130840,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1965,132440,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1966,132320,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1967,134720,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1968,138200,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1969,132407,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1970,135889,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1971,140259,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1972,144370,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1973,148407,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1974,151852,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1975,155556,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1976,153571,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1977,160714,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1978,153333,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1979,153333,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1980,158065,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1981,161290,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1982,150000,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1983,148571,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1984,151344,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1985,151226,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1986,152367,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1987,153333,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1988,153333,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1989,153333,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1990,35385,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1991,35833,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1992,34783,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1993,34737,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1994,34884,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1995,35000,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1996,35065,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1997,35135,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1998,35211,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,1999,35032,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2000,26948,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2001,27507,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2002,26381,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2003,30424,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2004,23966,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2005,28842,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2006,23765,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2007,27030,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2008,26941,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2009,30079,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2010,37008,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2011,45236,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2012,48978,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2013,56190,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2014,44926,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2015,39700,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2016,39675,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2017,39815,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2018,39832,hg/ha,Yield
56,Dominican Republic,Lettuce and chicory,2019,40315,hg/ha,Yield
56,Dominican Republic,"Onions, dry",1961,64500,hg/ha,Yield
