Area Code (FAO),Nation,Item,Year,yf_agrc_fruits_tonne_ha,units,Element
40,Chile,Maize,1985,59131,hg/ha,Yield
40,Chile,Maize,1986,68865,hg/ha,Yield
40,Chile,Maize,1987,71210,hg/ha,Yield
40,Chile,Maize,1988,73176,hg/ha,Yield
40,Chile,Maize,1989,75288,hg/ha,Yield
40,Chile,Maize,1990,81395,hg/ha,Yield
40,Chile,Maize,1991,83916,hg/ha,Yield
40,Chile,Maize,1992,84884,hg/ha,Yield
40,Chile,Maize,1993,84890,hg/ha,Yield
40,Chile,Maize,1994,89381,hg/ha,Yield
40,Chile,Maize,1995,91000,hg/ha,Yield
40,Chile,Maize,1996,94453,hg/ha,Yield
40,Chile,Maize,1997,82417,hg/ha,Yield
40,Chile,Maize,1998,94006,hg/ha,Yield
40,Chile,Maize,1999,85153,hg/ha,Yield
40,Chile,Maize,2000,94120,hg/ha,Yield
40,Chile,Maize,2001,94306,hg/ha,Yield
40,Chile,Maize,2002,105902,hg/ha,Yield
40,Chile,Maize,2003,99977,hg/ha,Yield
40,Chile,Maize,2004,110678,hg/ha,Yield
40,Chile,Maize,2005,112285,hg/ha,Yield
40,Chile,Maize,2006,111840,hg/ha,Yield
40,Chile,Maize,2007,89302,hg/ha,Yield
40,Chile,Maize,2008,101411,hg/ha,Yield
40,Chile,Maize,2009,104956,hg/ha,Yield
40,Chile,Maize,2010,110808,hg/ha,Yield
40,Chile,Maize,2011,119978,hg/ha,Yield
40,Chile,Maize,2012,107224,hg/ha,Yield
40,Chile,Maize,2013,106321,hg/ha,Yield
40,Chile,Maize,2014,101017,hg/ha,Yield
40,Chile,Maize,2015,122904,hg/ha,Yield
40,Chile,Maize,2016,115440,hg/ha,Yield
40,Chile,Maize,2017,112244,hg/ha,Yield
40,Chile,Maize,2018,124706,hg/ha,Yield
40,Chile,Maize,2019,121000,hg/ha,Yield
40,Chile,"Maize, green",1961,108800,hg/ha,Yield
40,Chile,"Maize, green",1962,111111,hg/ha,Yield
40,Chile,"Maize, green",1963,112500,hg/ha,Yield
40,Chile,"Maize, green",1964,115385,hg/ha,Yield
40,Chile,"Maize, green",1965,120202,hg/ha,Yield
40,Chile,"Maize, green",1966,123894,hg/ha,Yield
40,Chile,"Maize, green",1967,122642,hg/ha,Yield
40,Chile,"Maize, green",1968,122549,hg/ha,Yield
40,Chile,"Maize, green",1969,123711,hg/ha,Yield
40,Chile,"Maize, green",1970,124731,hg/ha,Yield
40,Chile,"Maize, green",1971,124444,hg/ha,Yield
40,Chile,"Maize, green",1972,122222,hg/ha,Yield
40,Chile,"Maize, green",1973,122989,hg/ha,Yield
40,Chile,"Maize, green",1974,122222,hg/ha,Yield
40,Chile,"Maize, green",1975,119300,hg/ha,Yield
40,Chile,"Maize, green",1976,120000,hg/ha,Yield
40,Chile,"Maize, green",1977,118182,hg/ha,Yield
40,Chile,"Maize, green",1978,114286,hg/ha,Yield
40,Chile,"Maize, green",1979,120000,hg/ha,Yield
40,Chile,"Maize, green",1980,120000,hg/ha,Yield
40,Chile,"Maize, green",1981,120000,hg/ha,Yield
40,Chile,"Maize, green",1982,120000,hg/ha,Yield
40,Chile,"Maize, green",1983,109231,hg/ha,Yield
40,Chile,"Maize, green",1984,105000,hg/ha,Yield
40,Chile,"Maize, green",1985,105000,hg/ha,Yield
40,Chile,"Maize, green",1986,107273,hg/ha,Yield
40,Chile,"Maize, green",1987,100000,hg/ha,Yield
40,Chile,"Maize, green",1988,100000,hg/ha,Yield
40,Chile,"Maize, green",1989,150000,hg/ha,Yield
40,Chile,"Maize, green",1990,150000,hg/ha,Yield
40,Chile,"Maize, green",1991,150000,hg/ha,Yield
40,Chile,"Maize, green",1992,150000,hg/ha,Yield
40,Chile,"Maize, green",1993,150000,hg/ha,Yield
40,Chile,"Maize, green",1994,140000,hg/ha,Yield
40,Chile,"Maize, green",1995,143105,hg/ha,Yield
40,Chile,"Maize, green",1996,145755,hg/ha,Yield
40,Chile,"Maize, green",1997,141667,hg/ha,Yield
40,Chile,"Maize, green",1998,150000,hg/ha,Yield
40,Chile,"Maize, green",1999,149172,hg/ha,Yield
40,Chile,"Maize, green",2000,150000,hg/ha,Yield
40,Chile,"Maize, green",2001,150000,hg/ha,Yield
40,Chile,"Maize, green",2002,150307,hg/ha,Yield
40,Chile,"Maize, green",2003,151515,hg/ha,Yield
40,Chile,"Maize, green",2004,150898,hg/ha,Yield
40,Chile,"Maize, green",2005,153333,hg/ha,Yield
40,Chile,"Maize, green",2006,153846,hg/ha,Yield
40,Chile,"Maize, green",2007,157143,hg/ha,Yield
40,Chile,"Maize, green",2008,153508,hg/ha,Yield
40,Chile,"Maize, green",2009,157095,hg/ha,Yield
40,Chile,"Maize, green",2010,156667,hg/ha,Yield
40,Chile,"Maize, green",2011,149672,hg/ha,Yield
40,Chile,"Maize, green",2012,134751,hg/ha,Yield
40,Chile,"Maize, green",2013,143746,hg/ha,Yield
40,Chile,"Maize, green",2014,147080,hg/ha,Yield
40,Chile,"Maize, green",2015,146291,hg/ha,Yield
40,Chile,"Maize, green",2016,145132,hg/ha,Yield
40,Chile,"Maize, green",2017,144668,hg/ha,Yield
40,Chile,"Maize, green",2018,144206,hg/ha,Yield
40,Chile,"Maize, green",2019,143745,hg/ha,Yield
44,Colombia,Maize,1961,10657,hg/ha,Yield
44,Colombia,Maize,1962,10818,hg/ha,Yield
44,Colombia,Maize,1963,11348,hg/ha,Yield
44,Colombia,Maize,1964,12545,hg/ha,Yield
44,Colombia,Maize,1965,10022,hg/ha,Yield
44,Colombia,Maize,1966,10050,hg/ha,Yield
44,Colombia,Maize,1967,10759,hg/ha,Yield
44,Colombia,Maize,1968,10831,hg/ha,Yield
44,Colombia,Maize,1969,12034,hg/ha,Yield
44,Colombia,Maize,1970,13257,hg/ha,Yield
44,Colombia,Maize,1971,12281,hg/ha,Yield
44,Colombia,Maize,1972,12910,hg/ha,Yield
44,Colombia,Maize,1973,12737,hg/ha,Yield
44,Colombia,Maize,1974,13884,hg/ha,Yield
44,Colombia,Maize,1975,12617,hg/ha,Yield
44,Colombia,Maize,1976,13648,hg/ha,Yield
44,Colombia,Maize,1977,12968,hg/ha,Yield
44,Colombia,Maize,1978,12851,hg/ha,Yield
44,Colombia,Maize,1979,14136,hg/ha,Yield
44,Colombia,Maize,1980,13893,hg/ha,Yield
44,Colombia,Maize,1981,13990,hg/ha,Yield
44,Colombia,Maize,1982,14125,hg/ha,Yield
44,Colombia,Maize,1983,14834,hg/ha,Yield
44,Colombia,Maize,1984,14575,hg/ha,Yield
44,Colombia,Maize,1985,14107,hg/ha,Yield
44,Colombia,Maize,1986,13322,hg/ha,Yield
44,Colombia,Maize,1987,13802,hg/ha,Yield
44,Colombia,Maize,1988,13670,hg/ha,Yield
44,Colombia,Maize,1989,13749,hg/ha,Yield
44,Colombia,Maize,1990,14498,hg/ha,Yield
44,Colombia,Maize,1991,15498,hg/ha,Yield
44,Colombia,Maize,1992,15175,hg/ha,Yield
44,Colombia,Maize,1993,15465,hg/ha,Yield
44,Colombia,Maize,1994,15671,hg/ha,Yield
44,Colombia,Maize,1995,15537,hg/ha,Yield
44,Colombia,Maize,1996,16293,hg/ha,Yield
44,Colombia,Maize,1997,17054,hg/ha,Yield
44,Colombia,Maize,1998,16598,hg/ha,Yield
44,Colombia,Maize,1999,17961,hg/ha,Yield
44,Colombia,Maize,2000,21064,hg/ha,Yield
44,Colombia,Maize,2001,20755,hg/ha,Yield
44,Colombia,Maize,2002,22773,hg/ha,Yield
44,Colombia,Maize,2003,26518,hg/ha,Yield
44,Colombia,Maize,2004,26357,hg/ha,Yield
44,Colombia,Maize,2005,27537,hg/ha,Yield
44,Colombia,Maize,2006,25368,hg/ha,Yield
44,Colombia,Maize,2007,27661,hg/ha,Yield
44,Colombia,Maize,2008,27712,hg/ha,Yield
44,Colombia,Maize,2009,26845,hg/ha,Yield
44,Colombia,Maize,2010,27226,hg/ha,Yield
44,Colombia,Maize,2011,28591,hg/ha,Yield
44,Colombia,Maize,2012,29052,hg/ha,Yield
44,Colombia,Maize,2013,28246,hg/ha,Yield
44,Colombia,Maize,2014,35651,hg/ha,Yield
44,Colombia,Maize,2015,36714,hg/ha,Yield
44,Colombia,Maize,2016,30737,hg/ha,Yield
44,Colombia,Maize,2017,35005,hg/ha,Yield
44,Colombia,Maize,2018,34988,hg/ha,Yield
44,Colombia,Maize,2019,37418,hg/ha,Yield
48,Costa Rica,Maize,1961,10239,hg/ha,Yield
48,Costa Rica,Maize,1962,10517,hg/ha,Yield
48,Costa Rica,Maize,1963,11125,hg/ha,Yield
48,Costa Rica,Maize,1964,9248,hg/ha,Yield
48,Costa Rica,Maize,1965,14955,hg/ha,Yield
48,Costa Rica,Maize,1966,12703,hg/ha,Yield
48,Costa Rica,Maize,1967,12962,hg/ha,Yield
48,Costa Rica,Maize,1968,14224,hg/ha,Yield
48,Costa Rica,Maize,1969,13657,hg/ha,Yield
48,Costa Rica,Maize,1970,11389,hg/ha,Yield
48,Costa Rica,Maize,1971,13528,hg/ha,Yield
48,Costa Rica,Maize,1972,13727,hg/ha,Yield
48,Costa Rica,Maize,1973,10822,hg/ha,Yield
48,Costa Rica,Maize,1974,14735,hg/ha,Yield
48,Costa Rica,Maize,1975,13149,hg/ha,Yield
48,Costa Rica,Maize,1976,15304,hg/ha,Yield
48,Costa Rica,Maize,1977,18022,hg/ha,Yield
48,Costa Rica,Maize,1978,16899,hg/ha,Yield
48,Costa Rica,Maize,1979,16542,hg/ha,Yield
48,Costa Rica,Maize,1980,19387,hg/ha,Yield
48,Costa Rica,Maize,1981,17646,hg/ha,Yield
48,Costa Rica,Maize,1982,15294,hg/ha,Yield
48,Costa Rica,Maize,1983,15159,hg/ha,Yield
48,Costa Rica,Maize,1984,16803,hg/ha,Yield
48,Costa Rica,Maize,1985,16047,hg/ha,Yield
48,Costa Rica,Maize,1986,15915,hg/ha,Yield
48,Costa Rica,Maize,1987,17007,hg/ha,Yield
48,Costa Rica,Maize,1988,16007,hg/ha,Yield
48,Costa Rica,Maize,1989,17284,hg/ha,Yield
48,Costa Rica,Maize,1990,16554,hg/ha,Yield
48,Costa Rica,Maize,1991,16254,hg/ha,Yield
48,Costa Rica,Maize,1992,16677,hg/ha,Yield
48,Costa Rica,Maize,1993,18789,hg/ha,Yield
48,Costa Rica,Maize,1994,19060,hg/ha,Yield
48,Costa Rica,Maize,1995,18565,hg/ha,Yield
48,Costa Rica,Maize,1996,15757,hg/ha,Yield
48,Costa Rica,Maize,1997,19133,hg/ha,Yield
48,Costa Rica,Maize,1998,17459,hg/ha,Yield
48,Costa Rica,Maize,1999,18915,hg/ha,Yield
48,Costa Rica,Maize,2000,18111,hg/ha,Yield
48,Costa Rica,Maize,2001,16619,hg/ha,Yield
48,Costa Rica,Maize,2002,17119,hg/ha,Yield
48,Costa Rica,Maize,2003,17273,hg/ha,Yield
48,Costa Rica,Maize,2004,19517,hg/ha,Yield
48,Costa Rica,Maize,2005,20794,hg/ha,Yield
48,Costa Rica,Maize,2006,20770,hg/ha,Yield
48,Costa Rica,Maize,2007,21529,hg/ha,Yield
48,Costa Rica,Maize,2008,17350,hg/ha,Yield
48,Costa Rica,Maize,2009,20815,hg/ha,Yield
48,Costa Rica,Maize,2010,19551,hg/ha,Yield
48,Costa Rica,Maize,2011,22540,hg/ha,Yield
48,Costa Rica,Maize,2012,23206,hg/ha,Yield
48,Costa Rica,Maize,2013,22333,hg/ha,Yield
48,Costa Rica,Maize,2014,16758,hg/ha,Yield
48,Costa Rica,Maize,2015,18794,hg/ha,Yield
48,Costa Rica,Maize,2016,19434,hg/ha,Yield
48,Costa Rica,Maize,2017,15139,hg/ha,Yield
48,Costa Rica,Maize,2018,16624,hg/ha,Yield
48,Costa Rica,Maize,2019,18038,hg/ha,Yield
56,Dominican Republic,Maize,1961,14352,hg/ha,Yield
56,Dominican Republic,Maize,1962,15145,hg/ha,Yield
56,Dominican Republic,Maize,1963,15194,hg/ha,Yield
56,Dominican Republic,Maize,1964,14399,hg/ha,Yield
56,Dominican Republic,Maize,1965,15000,hg/ha,Yield
56,Dominican Republic,Maize,1966,17000,hg/ha,Yield
56,Dominican Republic,Maize,1967,15419,hg/ha,Yield
56,Dominican Republic,Maize,1968,14453,hg/ha,Yield
56,Dominican Republic,Maize,1969,15357,hg/ha,Yield
56,Dominican Republic,Maize,1970,17308,hg/ha,Yield
56,Dominican Republic,Maize,1971,18846,hg/ha,Yield
56,Dominican Republic,Maize,1972,19231,hg/ha,Yield
56,Dominican Republic,Maize,1973,18640,hg/ha,Yield
56,Dominican Republic,Maize,1974,16828,hg/ha,Yield
56,Dominican Republic,Maize,1975,18449,hg/ha,Yield
56,Dominican Republic,Maize,1976,20188,hg/ha,Yield
56,Dominican Republic,Maize,1977,18711,hg/ha,Yield
56,Dominican Republic,Maize,1978,13888,hg/ha,Yield
56,Dominican Republic,Maize,1979,11757,hg/ha,Yield
56,Dominican Republic,Maize,1980,12783,hg/ha,Yield
56,Dominican Republic,Maize,1981,13852,hg/ha,Yield
56,Dominican Republic,Maize,1982,12986,hg/ha,Yield
56,Dominican Republic,Maize,1983,14136,hg/ha,Yield
56,Dominican Republic,Maize,1984,17628,hg/ha,Yield
56,Dominican Republic,Maize,1985,16486,hg/ha,Yield
56,Dominican Republic,Maize,1986,14751,hg/ha,Yield
56,Dominican Republic,Maize,1987,14001,hg/ha,Yield
56,Dominican Republic,Maize,1988,16803,hg/ha,Yield
56,Dominican Republic,Maize,1989,15892,hg/ha,Yield
56,Dominican Republic,Maize,1990,16479,hg/ha,Yield
56,Dominican Republic,Maize,1991,16223,hg/ha,Yield
56,Dominican Republic,Maize,1992,13760,hg/ha,Yield
56,Dominican Republic,Maize,1993,14105,hg/ha,Yield
56,Dominican Republic,Maize,1994,10268,hg/ha,Yield
56,Dominican Republic,Maize,1995,14034,hg/ha,Yield
56,Dominican Republic,Maize,1996,13584,hg/ha,Yield
56,Dominican Republic,Maize,1997,11770,hg/ha,Yield
56,Dominican Republic,Maize,1998,13001,hg/ha,Yield
56,Dominican Republic,Maize,1999,12633,hg/ha,Yield
56,Dominican Republic,Maize,2000,12343,hg/ha,Yield
56,Dominican Republic,Maize,2001,13390,hg/ha,Yield
56,Dominican Republic,Maize,2002,12960,hg/ha,Yield
56,Dominican Republic,Maize,2003,14176,hg/ha,Yield
56,Dominican Republic,Maize,2004,14924,hg/ha,Yield
56,Dominican Republic,Maize,2005,14206,hg/ha,Yield
56,Dominican Republic,Maize,2006,13900,hg/ha,Yield
56,Dominican Republic,Maize,2007,13350,hg/ha,Yield
56,Dominican Republic,Maize,2008,14531,hg/ha,Yield
56,Dominican Republic,Maize,2009,14645,hg/ha,Yield
56,Dominican Republic,Maize,2010,16818,hg/ha,Yield
56,Dominican Republic,Maize,2011,16229,hg/ha,Yield
56,Dominican Republic,Maize,2012,15675,hg/ha,Yield
56,Dominican Republic,Maize,2013,15764,hg/ha,Yield
56,Dominican Republic,Maize,2014,14855,hg/ha,Yield
56,Dominican Republic,Maize,2015,14504,hg/ha,Yield
56,Dominican Republic,Maize,2016,16469,hg/ha,Yield
56,Dominican Republic,Maize,2017,17115,hg/ha,Yield
56,Dominican Republic,Maize,2018,17077,hg/ha,Yield
56,Dominican Republic,Maize,2019,17029,hg/ha,Yield
58,Ecuador,Maize,1961,6726,hg/ha,Yield
58,Ecuador,Maize,1962,6517,hg/ha,Yield
58,Ecuador,Maize,1963,7782,hg/ha,Yield
58,Ecuador,Maize,1964,4298,hg/ha,Yield
58,Ecuador,Maize,1965,6234,hg/ha,Yield
58,Ecuador,Maize,1966,6542,hg/ha,Yield
58,Ecuador,Maize,1967,6255,hg/ha,Yield
58,Ecuador,Maize,1968,6812,hg/ha,Yield
58,Ecuador,Maize,1969,7248,hg/ha,Yield
58,Ecuador,Maize,1970,8779,hg/ha,Yield
58,Ecuador,Maize,1971,7092,hg/ha,Yield
58,Ecuador,Maize,1972,7326,hg/ha,Yield
58,Ecuador,Maize,1973,9284,hg/ha,Yield
58,Ecuador,Maize,1974,9417,hg/ha,Yield
58,Ecuador,Maize,1975,9973,hg/ha,Yield
58,Ecuador,Maize,1976,9936,hg/ha,Yield
58,Ecuador,Maize,1977,8844,hg/ha,Yield
58,Ecuador,Maize,1978,9522,hg/ha,Yield
58,Ecuador,Maize,1979,9958,hg/ha,Yield
58,Ecuador,Maize,1980,10698,hg/ha,Yield
58,Ecuador,Maize,1981,11503,hg/ha,Yield
58,Ecuador,Maize,1982,14964,hg/ha,Yield
58,Ecuador,Maize,1983,11146,hg/ha,Yield
58,Ecuador,Maize,1984,13294,hg/ha,Yield
58,Ecuador,Maize,1985,16214,hg/ha,Yield
58,Ecuador,Maize,1986,9737,hg/ha,Yield
58,Ecuador,Maize,1987,9163,hg/ha,Yield
58,Ecuador,Maize,1988,8816,hg/ha,Yield
58,Ecuador,Maize,1989,10917,hg/ha,Yield
58,Ecuador,Maize,1990,10602,hg/ha,Yield
58,Ecuador,Maize,1991,13821,hg/ha,Yield
58,Ecuador,Maize,1992,10416,hg/ha,Yield
58,Ecuador,Maize,1993,11442,hg/ha,Yield
58,Ecuador,Maize,1994,11208,hg/ha,Yield
58,Ecuador,Maize,1995,11551,hg/ha,Yield
58,Ecuador,Maize,1996,11425,hg/ha,Yield
58,Ecuador,Maize,1997,11482,hg/ha,Yield
58,Ecuador,Maize,1998,10743,hg/ha,Yield
58,Ecuador,Maize,1999,11813,hg/ha,Yield
58,Ecuador,Maize,2000,14614,hg/ha,Yield
58,Ecuador,Maize,2001,7642,hg/ha,Yield
58,Ecuador,Maize,2002,14319,hg/ha,Yield
58,Ecuador,Maize,2003,16898,hg/ha,Yield
58,Ecuador,Maize,2004,18841,hg/ha,Yield
58,Ecuador,Maize,2005,21232,hg/ha,Yield
58,Ecuador,Maize,2006,18776,hg/ha,Yield
58,Ecuador,Maize,2007,23105,hg/ha,Yield
58,Ecuador,Maize,2008,22442,hg/ha,Yield
58,Ecuador,Maize,2009,22003,hg/ha,Yield
58,Ecuador,Maize,2010,22348,hg/ha,Yield
58,Ecuador,Maize,2011,16672,hg/ha,Yield
58,Ecuador,Maize,2012,27324,hg/ha,Yield
58,Ecuador,Maize,2013,23702,hg/ha,Yield
58,Ecuador,Maize,2014,34336,hg/ha,Yield
58,Ecuador,Maize,2015,44669,hg/ha,Yield
58,Ecuador,Maize,2016,35646,hg/ha,Yield
58,Ecuador,Maize,2017,40023,hg/ha,Yield
58,Ecuador,Maize,2018,36245,hg/ha,Yield
58,Ecuador,Maize,2019,45835,hg/ha,Yield
60,El Salvador,Maize,1961,9279,hg/ha,Yield
60,El Salvador,Maize,1962,10765,hg/ha,Yield
60,El Salvador,Maize,1963,11992,hg/ha,Yield
60,El Salvador,Maize,1964,11560,hg/ha,Yield
60,El Salvador,Maize,1965,10514,hg/ha,Yield
60,El Salvador,Maize,1966,12808,hg/ha,Yield
60,El Salvador,Maize,1967,10885,hg/ha,Yield
60,El Salvador,Maize,1968,12894,hg/ha,Yield
60,El Salvador,Maize,1969,14372,hg/ha,Yield
60,El Salvador,Maize,1970,17630,hg/ha,Yield
60,El Salvador,Maize,1971,17944,hg/ha,Yield
60,El Salvador,Maize,1972,11553,hg/ha,Yield
60,El Salvador,Maize,1973,20166,hg/ha,Yield
60,El Salvador,Maize,1974,16681,hg/ha,Yield
60,El Salvador,Maize,1975,17842,hg/ha,Yield
60,El Salvador,Maize,1976,14624,hg/ha,Yield
60,El Salvador,Maize,1977,15509,hg/ha,Yield
60,El Salvador,Maize,1978,19179,hg/ha,Yield
60,El Salvador,Maize,1979,18959,hg/ha,Yield
60,El Salvador,Maize,1980,18153,hg/ha,Yield
60,El Salvador,Maize,1981,18098,hg/ha,Yield
60,El Salvador,Maize,1982,17344,hg/ha,Yield
60,El Salvador,Maize,1983,18349,hg/ha,Yield
60,El Salvador,Maize,1984,21662,hg/ha,Yield
60,El Salvador,Maize,1985,19544,hg/ha,Yield
60,El Salvador,Maize,1986,16960,hg/ha,Yield
60,El Salvador,Maize,1987,20738,hg/ha,Yield
60,El Salvador,Maize,1988,21137,hg/ha,Yield
60,El Salvador,Maize,1989,21301,hg/ha,Yield
60,El Salvador,Maize,1990,21383,hg/ha,Yield
60,El Salvador,Maize,1991,16448,hg/ha,Yield
60,El Salvador,Maize,1992,21989,hg/ha,Yield
60,El Salvador,Maize,1993,20482,hg/ha,Yield
60,El Salvador,Maize,1994,15245,hg/ha,Yield
60,El Salvador,Maize,1995,21972,hg/ha,Yield
60,El Salvador,Maize,1996,22572,hg/ha,Yield
60,El Salvador,Maize,1997,16582,hg/ha,Yield
60,El Salvador,Maize,1998,19062,hg/ha,Yield
60,El Salvador,Maize,1999,25047,hg/ha,Yield
60,El Salvador,Maize,2000,22475,hg/ha,Yield
60,El Salvador,Maize,2001,19431,hg/ha,Yield
60,El Salvador,Maize,2002,26041,hg/ha,Yield
60,El Salvador,Maize,2003,27471,hg/ha,Yield
60,El Salvador,Maize,2004,27641,hg/ha,Yield
60,El Salvador,Maize,2005,29434,hg/ha,Yield
60,El Salvador,Maize,2006,30794,hg/ha,Yield
60,El Salvador,Maize,2007,29107,hg/ha,Yield
60,El Salvador,Maize,2008,33895,hg/ha,Yield
60,El Salvador,Maize,2009,30041,hg/ha,Yield
60,El Salvador,Maize,2010,30253,hg/ha,Yield
60,El Salvador,Maize,2011,28181,hg/ha,Yield
60,El Salvador,Maize,2012,32580,hg/ha,Yield
60,El Salvador,Maize,2013,29461,hg/ha,Yield
60,El Salvador,Maize,2014,26064,hg/ha,Yield
60,El Salvador,Maize,2015,25110,hg/ha,Yield
60,El Salvador,Maize,2016,30425,hg/ha,Yield
60,El Salvador,Maize,2017,31867,hg/ha,Yield
60,El Salvador,Maize,2018,25312,hg/ha,Yield
60,El Salvador,Maize,2019,27537,hg/ha,Yield
60,El Salvador,"Maize, green",2005,96797,hg/ha,Yield
60,El Salvador,"Maize, green",2006,96806,hg/ha,Yield
60,El Salvador,"Maize, green",2007,104530,hg/ha,Yield
60,El Salvador,"Maize, green",2008,104535,hg/ha,Yield
60,El Salvador,"Maize, green",2009,117888,hg/ha,Yield
60,El Salvador,"Maize, green",2010,117888,hg/ha,Yield
60,El Salvador,"Maize, green",2011,115183,hg/ha,Yield
60,El Salvador,"Maize, green",2012,116144,hg/ha,Yield
60,El Salvador,"Maize, green",2013,115396,hg/ha,Yield
60,El Salvador,"Maize, green",2014,116636,hg/ha,Yield
60,El Salvador,"Maize, green",2015,115271,hg/ha,Yield
60,El Salvador,"Maize, green",2016,133620,hg/ha,Yield
60,El Salvador,"Maize, green",2017,143437,hg/ha,Yield
60,El Salvador,"Maize, green",2018,117104,hg/ha,Yield
60,El Salvador,"Maize, green",2019,124191,hg/ha,Yield
89,Guatemala,Maize,1961,8286,hg/ha,Yield
89,Guatemala,Maize,1962,8748,hg/ha,Yield
89,Guatemala,Maize,1963,8561,hg/ha,Yield
89,Guatemala,Maize,1964,9212,hg/ha,Yield
89,Guatemala,Maize,1965,9554,hg/ha,Yield
89,Guatemala,Maize,1966,9026,hg/ha,Yield
89,Guatemala,Maize,1967,8710,hg/ha,Yield
89,Guatemala,Maize,1968,9980,hg/ha,Yield
89,Guatemala,Maize,1969,10365,hg/ha,Yield
89,Guatemala,Maize,1970,11873,hg/ha,Yield
89,Guatemala,Maize,1971,11339,hg/ha,Yield
89,Guatemala,Maize,1972,11906,hg/ha,Yield
89,Guatemala,Maize,1973,16363,hg/ha,Yield
89,Guatemala,Maize,1974,14231,hg/ha,Yield
89,Guatemala,Maize,1975,16715,hg/ha,Yield
89,Guatemala,Maize,1976,13342,hg/ha,Yield
89,Guatemala,Maize,1977,13126,hg/ha,Yield
89,Guatemala,Maize,1978,15329,hg/ha,Yield
89,Guatemala,Maize,1979,17447,hg/ha,Yield
89,Guatemala,Maize,1980,13690,hg/ha,Yield
89,Guatemala,Maize,1981,14638,hg/ha,Yield
89,Guatemala,Maize,1982,16449,hg/ha,Yield
89,Guatemala,Maize,1983,18357,hg/ha,Yield
89,Guatemala,Maize,1984,15403,hg/ha,Yield
89,Guatemala,Maize,1985,16501,hg/ha,Yield
89,Guatemala,Maize,1986,17656,hg/ha,Yield
89,Guatemala,Maize,1987,15336,hg/ha,Yield
89,Guatemala,Maize,1988,18625,hg/ha,Yield
89,Guatemala,Maize,1989,20766,hg/ha,Yield
89,Guatemala,Maize,1990,20052,hg/ha,Yield
89,Guatemala,Maize,1991,18442,hg/ha,Yield
89,Guatemala,Maize,1992,18831,hg/ha,Yield
89,Guatemala,Maize,1993,18506,hg/ha,Yield
89,Guatemala,Maize,1994,19569,hg/ha,Yield
89,Guatemala,Maize,1995,19436,hg/ha,Yield
89,Guatemala,Maize,1996,18201,hg/ha,Yield
89,Guatemala,Maize,1997,14942,hg/ha,Yield
89,Guatemala,Maize,1998,16994,hg/ha,Yield
89,Guatemala,Maize,1999,17378,hg/ha,Yield
89,Guatemala,Maize,2000,17811,hg/ha,Yield
89,Guatemala,Maize,2001,20681,hg/ha,Yield
89,Guatemala,Maize,2002,20659,hg/ha,Yield
89,Guatemala,Maize,2003,20971,hg/ha,Yield
89,Guatemala,Maize,2004,21307,hg/ha,Yield
89,Guatemala,Maize,2005,23360,hg/ha,Yield
89,Guatemala,Maize,2006,25807,hg/ha,Yield
89,Guatemala,Maize,2007,23219,hg/ha,Yield
89,Guatemala,Maize,2008,20115,hg/ha,Yield
89,Guatemala,Maize,2009,19798,hg/ha,Yield
89,Guatemala,Maize,2010,19944,hg/ha,Yield
89,Guatemala,Maize,2011,19976,hg/ha,Yield
89,Guatemala,Maize,2012,20348,hg/ha,Yield
89,Guatemala,Maize,2013,20827,hg/ha,Yield
89,Guatemala,Maize,2014,20898,hg/ha,Yield
89,Guatemala,Maize,2015,21148,hg/ha,Yield
89,Guatemala,Maize,2016,21522,hg/ha,Yield
89,Guatemala,Maize,2017,21540,hg/ha,Yield
89,Guatemala,Maize,2018,21541,hg/ha,Yield
89,Guatemala,Maize,2019,21641,hg/ha,Yield
91,Guyana,Maize,1961,9848,hg/ha,Yield
91,Guyana,Maize,1962,9407,hg/ha,Yield
91,Guyana,Maize,1963,9214,hg/ha,Yield
91,Guyana,Maize,1964,10647,hg/ha,Yield
91,Guyana,Maize,1965,10087,hg/ha,Yield
91,Guyana,Maize,1966,10093,hg/ha,Yield
91,Guyana,Maize,1967,11235,hg/ha,Yield
91,Guyana,Maize,1968,15236,hg/ha,Yield
91,Guyana,Maize,1969,16822,hg/ha,Yield
91,Guyana,Maize,1970,14577,hg/ha,Yield
91,Guyana,Maize,1971,17546,hg/ha,Yield
91,Guyana,Maize,1972,19039,hg/ha,Yield
91,Guyana,Maize,1973,18064,hg/ha,Yield
91,Guyana,Maize,1974,22422,hg/ha,Yield
91,Guyana,Maize,1975,19130,hg/ha,Yield
91,Guyana,Maize,1976,9292,hg/ha,Yield
91,Guyana,Maize,1977,10887,hg/ha,Yield
91,Guyana,Maize,1978,13341,hg/ha,Yield
91,Guyana,Maize,1979,14796,hg/ha,Yield
91,Guyana,Maize,1980,14797,hg/ha,Yield
91,Guyana,Maize,1981,8662,hg/ha,Yield
91,Guyana,Maize,1982,8831,hg/ha,Yield
91,Guyana,Maize,1983,9067,hg/ha,Yield
91,Guyana,Maize,1984,7778,hg/ha,Yield
91,Guyana,Maize,1985,10000,hg/ha,Yield
91,Guyana,Maize,1986,10639,hg/ha,Yield
91,Guyana,Maize,1987,12357,hg/ha,Yield
91,Guyana,Maize,1988,11154,hg/ha,Yield
91,Guyana,Maize,1989,11538,hg/ha,Yield
91,Guyana,Maize,1990,15666,hg/ha,Yield
91,Guyana,Maize,1991,13784,hg/ha,Yield
